# time_ns temp_K pressure_bar volume_A3 kinetic potential total
1.799999999999999822e+00 2.893111000000000104e+02 7.954760000000000275e+01 2.648188844999999856e+05 1.792531699999999910e+04 -4.678669550000000163e+04 -2.886137849999999889e+04
1.819999999999999840e+00 2.886614999999999895e+02 -1.471742999999999881e+02 2.642540471000000252e+05 1.788507050000000163e+04 -4.683439459999999963e+04 -2.894932410000000164e+04
1.839999999999999858e+00 2.891754999999999995e+02 1.117869999999999919e+01 2.644770065000000177e+05 1.791691679999999906e+04 -4.668652700000000186e+04 -2.876961019999999917e+04
1.859999999999999876e+00 2.875201999999999884e+02 2.225620999999999867e+02 2.637217088000000222e+05 1.781436019999999917e+04 -4.677893490000000020e+04 -2.896457470000000103e+04
1.879999999999999893e+00 2.893113000000000170e+02 1.204286000000000030e+02 2.639236437000000151e+05 1.792533290000000125e+04 -4.669760289999999804e+04 -2.877227000000000044e+04
1.899999999999999911e+00 2.895928999999999860e+02 1.920534000000000106e+02 2.646656486000000150e+05 1.794277899999999863e+04 -4.676981289999999717e+04 -2.882703389999999854e+04
1.919999999999999929e+00 2.879631999999999721e+02 -1.746718999999999937e+02 2.645629229000000050e+05 1.784180740000000151e+04 -4.664050340000000142e+04 -2.879869599999999991e+04
1.939999999999999947e+00 2.908097999999999956e+02 -2.478877999999999986e+02 2.648002001000000164e+05 1.801817529999999897e+04 -4.663971360000000277e+04 -2.862153830000000016e+04
1.959999999999999964e+00 2.877219999999999800e+02 -6.765086999999999762e+02 2.647211599999999744e+05 1.782686170000000129e+04 -4.671003319999999803e+04 -2.888317150000000038e+04
1.979999999999999982e+00 2.904307999999999765e+02 -1.762270000000000039e+02 2.633456969999999856e+05 1.799469659999999931e+04 -4.692478970000000118e+04 -2.893009309999999823e+04
2.000000000000000000e+00 2.900124000000000137e+02 9.454879999999999995e+01 2.633974553999999771e+05 1.796876959999999963e+04 -4.678169870000000083e+04 -2.881292910000000120e+04
