dt_ps,VACF
7.720000000000000000e+03,6.287545983999916991e-04
7.740000000000000000e+03,-5.346584870901932747e-03
7.760000000000000000e+03,9.713957470824470183e-04
7.780000000000000000e+03,5.268478486744453820e-03
7.800000000000000000e+03,-2.958125786289882847e-03
7.820000000000000000e+03,-4.488127434382998930e-03
7.840000000000000000e+03,4.683141645437341634e-03
7.860000000000000000e+03,-2.192522950371473926e-03
7.880000000000000000e+03,-6.346848816087660543e-03
7.900000000000000000e+03,5.849636081899292975e-03
7.920000000000000000e+03,5.303033334945860509e-03
7.940000000000000000e+03,-1.136348343257419799e-03
7.960000000000000000e+03,-2.857543605477375851e-03
7.980000000000000000e+03,-4.377605619634723430e-03
8.000000000000000000e+03,-1.963815180950244203e-03
8.020000000000000000e+03,3.513782660176157681e-03
8.040000000000000000e+03,3.832388374248709762e-04
8.060000000000000000e+03,-4.185633402613910328e-03
8.080000000000000000e+03,5.657320101147258508e-03
8.100000000000000000e+03,8.003390885311953071e-03
8.120000000000000000e+03,-4.277750870135701641e-03
8.140000000000000000e+03,2.606243104384902472e-03
8.160000000000000000e+03,3.085305809706942112e-03
8.180000000000000000e+03,-7.188813608632193750e-03
8.200000000000000000e+03,-5.829009528622278613e-05
8.220000000000000000e+03,2.331232509735685007e-03
8.240000000000000000e+03,-4.326380099732060613e-03
8.260000000000000000e+03,-5.240498536105054998e-03
8.280000000000000000e+03,6.636411617701418707e-03
8.300000000000000000e+03,5.182361463509818980e-03
8.320000000000000000e+03,-7.656216935156615749e-03
8.340000000000000000e+03,-2.963821533034214587e-03
8.360000000000000000e+03,1.210836712487211230e-03
8.380000000000000000e+03,-2.990000957202244587e-03
8.400000000000000000e+03,1.454824409211812400e-04
8.420000000000000000e+03,5.025424957349611602e-03
8.440000000000000000e+03,6.588395264380359981e-04
8.460000000000000000e+03,1.143023646036522411e-03
8.480000000000000000e+03,3.542214393740908168e-04
8.500000000000000000e+03,-7.208010075861600793e-03
8.520000000000000000e+03,-2.774641580249602273e-03
8.540000000000000000e+03,3.304518799602610031e-03
8.560000000000000000e+03,9.192644725656826110e-03
8.580000000000000000e+03,-6.242620900203283167e-04
8.600000000000000000e+03,-1.000101147100944735e-02
8.620000000000000000e+03,1.031421528268562822e-03
8.640000000000000000e+03,-2.080283263613471375e-03
8.660000000000000000e+03,-2.993765304854447903e-03
8.680000000000000000e+03,5.718308219160548288e-03
8.700000000000000000e+03,9.393040006025412877e-03
8.720000000000000000e+03,8.781827587962287877e-04
8.740000000000000000e+03,-8.745189579654203543e-03
8.760000000000000000e+03,-2.974872301727922962e-03
8.780000000000000000e+03,5.324867495958223763e-03
8.800000000000000000e+03,1.187097943116991079e-02
8.820000000000000000e+03,-1.604215644830838446e-03
8.840000000000000000e+03,-1.660553497350017449e-02
8.860000000000000000e+03,-1.320566554690599673e-03
8.880000000000000000e+03,9.418585286875943291e-03
8.900000000000000000e+03,2.338012412120569865e-03
8.920000000000000000e+03,6.318829857816752292e-03
8.940000000000000000e+03,-1.502382062736055523e-03
8.960000000000000000e+03,-1.481117792959222960e-02
8.980000000000000000e+03,2.931208484770760243e-03
9.000000000000000000e+03,1.371639413292455138e-02
9.020000000000000000e+03,-2.059126092307763962e-03
9.040000000000000000e+03,-1.385630930598876799e-02
9.060000000000000000e+03,-2.913416091000532900e-03
9.080000000000000000e+03,9.409968821911200015e-03
9.100000000000000000e+03,9.156141392526281897e-03
9.120000000000000000e+03,-7.237574784504781540e-03
9.140000000000000000e+03,-1.088651887959104711e-02
9.160000000000000000e+03,1.029153162585863708e-02
9.180000000000000000e+03,3.999449817110221905e-03
9.200000000000000000e+03,-7.585019598458115665e-03
9.220000000000000000e+03,1.139080269648003879e-02
9.240000000000000000e+03,-2.701672818628566859e-03
9.260000000000000000e+03,-2.136527169244565455e-02
