dt_ps,MSD_A2,SEM
3.820000000000000000e+03,1.014915324997848757e+03,2.690748258953127525e+00
3.840000000000000000e+03,1.016648596372122256e+03,2.689286377313613308e+00
3.860000000000000000e+03,1.018007248535026633e+03,2.687657543794130799e+00
3.880000000000000000e+03,1.019776572200940336e+03,2.698558797875038717e+00
3.900000000000000000e+03,1.021356714511392511e+03,2.705165328653291290e+00
3.920000000000000000e+03,1.018300197848089624e+03,2.698491726318450912e+00
3.940000000000000000e+03,1.018286325658953160e+03,2.707489934705900048e+00
3.960000000000000000e+03,1.015937774258295804e+03,2.717672055264322761e+00
3.980000000000000000e+03,1.014563333367977975e+03,2.724959860004978918e+00
4.000000000000000000e+03,1.017701828486252566e+03,2.731683926382224570e+00
4.020000000000000000e+03,1.015923820539033386e+03,2.729529886428344820e+00
4.040000000000000000e+03,1.016621555609619691e+03,2.732399251531383300e+00
4.060000000000000000e+03,1.020282170785815424e+03,2.734477355141051280e+00
4.080000000000000000e+03,1.020578673595674331e+03,2.748557119799714510e+00
4.100000000000000000e+03,1.016553701784160921e+03,2.756304553278371650e+00
4.120000000000000000e+03,1.016706285659914556e+03,2.752996270805132095e+00
4.140000000000000000e+03,1.014066743623195975e+03,2.768040669519772567e+00
4.160000000000000000e+03,1.011807485137301796e+03,2.769880594079906277e+00
4.180000000000000000e+03,1.013597042095185770e+03,2.763758735295922975e+00
4.200000000000000000e+03,1.018323078266786069e+03,2.771540157612633948e+00
4.220000000000000000e+03,1.018938984188428662e+03,2.784263900483670007e+00
4.240000000000000000e+03,1.010719150634670086e+03,2.777375209588232696e+00
4.260000000000000000e+03,1.013219280884409613e+03,2.785670501198798110e+00
4.280000000000000000e+03,1.013824968266257770e+03,2.791492057195013032e+00
4.300000000000000000e+03,1.009480473866021612e+03,2.792132584609865908e+00
4.320000000000000000e+03,1.012230752991758777e+03,2.804470915800166608e+00
4.340000000000000000e+03,1.014868496615208414e+03,2.809999028556093403e+00
4.360000000000000000e+03,1.014870081596901855e+03,2.819180847402209089e+00
4.380000000000000000e+03,1.011739142379167788e+03,2.820751129272741409e+00
4.400000000000000000e+03,1.014324418752350994e+03,2.829355943611909563e+00
4.420000000000000000e+03,1.019484156322200874e+03,2.836695808616440662e+00
4.440000000000000000e+03,1.023448444798308401e+03,2.846181875375472625e+00
4.460000000000000000e+03,1.016520683145070279e+03,2.835296543026503802e+00
4.480000000000000000e+03,1.019308190388108528e+03,2.848361983405093945e+00
4.500000000000000000e+03,1.013636853961472525e+03,2.848141998354264182e+00
4.520000000000000000e+03,1.015463736846409574e+03,2.838584868778147641e+00
4.540000000000000000e+03,1.019038445673275874e+03,2.857227075636109781e+00
4.560000000000000000e+03,1.017949393432220177e+03,2.869516165251547957e+00
4.580000000000000000e+03,1.015175830965632599e+03,2.858682040724447315e+00
4.600000000000000000e+03,1.014486934755449170e+03,2.872154817789128511e+00
4.620000000000000000e+03,1.018812106967990758e+03,2.878448353370226087e+00
4.640000000000000000e+03,1.017704494286562408e+03,2.873398735345406685e+00
4.660000000000000000e+03,1.019055283347702130e+03,2.885675239904375022e+00
4.680000000000000000e+03,1.019675930282279182e+03,2.891620200277329022e+00
4.700000000000000000e+03,1.020436852765980689e+03,2.902416743160637580e+00
4.720000000000000000e+03,1.020013832255802299e+03,2.904476500654816551e+00
4.740000000000000000e+03,1.023882215632938369e+03,2.919972830691329513e+00
4.760000000000000000e+03,1.014127080739766711e+03,2.913810463168960307e+00
4.780000000000000000e+03,1.017618322290446599e+03,2.924007488653042497e+00
4.800000000000000000e+03,1.016121808468589848e+03,2.923691597483116134e+00
4.820000000000000000e+03,1.023757004251794456e+03,2.943253535607786908e+00
4.840000000000000000e+03,1.022798092657787947e+03,2.950782788178365035e+00
4.860000000000000000e+03,1.025988220170729392e+03,2.944377430526022188e+00
4.880000000000000000e+03,1.021356157908500904e+03,2.949448230019652950e+00
4.900000000000000000e+03,1.021219768272876991e+03,2.954660194656225869e+00
4.920000000000000000e+03,1.020156120545544582e+03,2.953846701411077635e+00
4.940000000000000000e+03,1.021978679239139979e+03,2.959595276013683218e+00
4.960000000000000000e+03,1.020454338005771774e+03,2.978297917242115567e+00
4.980000000000000000e+03,1.021645514817729349e+03,2.971900061592677389e+00
